@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "MBG.410222"        "RBEND"                    205.3580973        6.300016764        -0.00799133       -2487.368388        2401.792114        4345.003399       -2.089439409     0.000178001879  -1.519797596e-005   7.250029418e-007          0          0                  0                  0 ""                 
 "DRIFT_40"          "DRIFT"                    205.9280973       0.5700000364                  0       -2487.863428        2401.792216        4344.720849       -2.089439409     0.000178001879  -1.519797596e-005  -1.519797596e-005          0          0                  0                  0 ""                 
 "MBG.410236"        "RBEND"                    212.2281141        6.300016764        -0.00799133       -2493.347366        2401.793337        4341.619813       -2.081448079    0.0001780026045   -1.66204582e-005   8.020240406e-007          0          0                  0                  0 ""                 
 "DRIFT_41"          "DRIFT"                     212.798114       0.5699999364                  0       -2493.844649        2401.793438        4341.341227       -2.081448079    0.0001780026045   -1.66204582e-005   -1.66204582e-005          0          0                  0                  0 ""                 
 "MBG.410250"        "RBEND"                    219.0981308        6.300016764        -0.00799133       -2499.353193         2401.79456        4338.284114       -2.073456748    0.0001780039534  -1.804294873e-005   8.800418011e-007          0          0                  0                  0 ""                 
 "DRIFT_42"          "DRIFT"                    219.5931308       0.4950000182                  0       -2499.786963        2401.794648        4338.045643       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "QTGD.410300"       "QUADRUPOLE"               221.7931308                2.2                  0       -2501.714832         2401.79504        4336.985774       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "DRIFT_43"          "DRIFT"                    222.2831308               0.49                  0       -2502.144221        2401.795127        4336.749713       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "MDGV.410306"       "VKICKER"                  222.8311308              0.548                  0       -2502.624436        2401.795224        4336.485709       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "DRIFT_44"          "DRIFT"                    223.4881308       0.6570000182                  0       -2503.200167        2401.795341        4336.169194       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "MBG.410308"        "RBEND"                    229.7881476        6.300016764        -0.00799133       -2508.732965        2401.796463        4333.156198       -2.065465418    0.0001780019308  -1.946543656e-005   4.581512729e-007          0          0                  0                  0 ""                 
 "DRIFT_45"          "DRIFT"                    230.3581476       0.5700000364                  0       -2509.234637        2401.796564        4332.885596       -2.065465418    0.0001780019308  -1.946543656e-005  -1.946543656e-005          0          0                  0                  0 ""                 
 "MBG.410322"        "RBEND"                    236.6581644        6.300016764        -0.00799133       -2514.791336        2401.797686         4329.91691       -2.057474088    0.0001780005237   -2.08879107e-005   5.351634365e-007          0          0                  0                  0 ""                 
 "DRIFT_46"          "DRIFT"                    237.2281643       0.5699999364                  0       -2515.295154        2401.797787        4329.650326       -2.057474088    0.0001780005237   -2.08879107e-005   -2.08879107e-005          0          0                  0                  0 ""                 
 "MBG.410336"        "RBEND"                    243.5281811        6.300016764        -0.00799133       -2520.875399        2401.798908        4326.726139       -2.049482758    0.0001779997402  -2.231037608e-005   6.131893037e-007          0          0                  0                  0 ""                 
 "DRIFT_47"          "DRIFT"                    244.0981811       0.5700000364                  0       -2521.381332         2401.79901         4326.46359       -2.049482758    0.0001779997402  -2.231037608e-005  -2.231037608e-005          0          0                  0                  0 ""                 
 "MBG.410350"        "RBEND"                    250.3981979        6.300016764        -0.00799133       -2526.984766        2401.800131         4323.58409       -2.041491428    0.0001779995804  -2.373283769e-005   6.912239238e-007          0          0                  0                  0 ""                 
 "DRIFT_48"          "DRIFT"                    250.8931979       0.4950000182                  0       -2527.425937        2401.800219        4323.359605       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "QTGF.410400"       "QUADRUPOLE"               253.0931979                2.2                  0       -2529.386694        2401.800611        4322.361892       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_49"          "DRIFT"                    253.2531979               0.16                  0       -2529.529295         2401.80064        4322.289331       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "BPM.410405"        "HMONITOR"                 253.5031979               0.25                  0       -2529.752108        2401.800684        4322.175954       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_50"          "DRIFT"                    253.5831979               0.08                  0       -2529.823408        2401.800698        4322.139674       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "BTV.410406"        "INSTRUMENT"               253.9331979               0.35                  0       -2530.135347        2401.800761        4321.980947       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_51"          "DRIFT"                    254.7881979       0.8550000182                  0       -2530.897368        2401.800913        4321.593199       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "MBG.410408"        "RBEND"                    261.0882147        6.300016764        -0.00799133       -2536.523635        2401.802034         4318.75857       -2.033500098    0.0001780000449  -2.515530051e-005   7.693623134e-007          0          0                  0                  0 ""                 
 "DRIFT_52"          "DRIFT"                    261.6582146       0.5699999364                  0       -2537.033699        2401.802136         4318.50414       -2.033500098    0.0001780000449  -2.515530051e-005  -2.515530051e-005          0          0                  0                  0 ""                 
 "MBG.410422"        "RBEND"                    267.9582314        6.300016764        -0.00799133       -2542.682438        2401.803257        4315.714562       -2.025508768    0.0001780011251  -2.657776951e-005   8.463994856e-007          0          0                  0                  0 ""                 
 "DRIFT_53"          "DRIFT"                    268.5282314       0.5700000364                  0       -2543.194519        2401.803358        4315.464216       -2.025508768    0.0001780011251  -2.657776951e-005  -2.657776951e-005          0          0                  0                  0 ""                 
 "MBG.410436"        "RBEND"                    274.8282482        6.300016764        -0.00799133        -2548.86537         2401.80448        4312.719867       -2.017517438    0.0001780028287  -2.800024964e-005   9.244304857e-007          0          0                  0                  0 ""                 
 "DRIFT_54"          "DRIFT"                    275.3982482       0.5700000364                  0       -2549.379435        2401.804581        4312.473621       -2.017517438    0.0001780028287  -2.800024964e-005  -2.800024964e-005          0          0                  0                  0 ""                 
 "MBG.410450"        "RBEND"                     281.698265        6.300016764        -0.00799133       -2555.072036        2401.805703        4309.774678       -2.009526107     0.000178001161   -2.94227299e-005   5.025503624e-007          0          0                  0                  0 ""                 
 "DRIFT_55"          "DRIFT"                    282.1932649       0.4949999182                  0       -2555.520155        2401.805791        4309.564407       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "QTGD.410500"       "QUADRUPOLE"               284.3932649                2.2                  0       -2557.511797        2401.806182        4308.629869       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_56"          "DRIFT"                    284.5532649               0.16                  0       -2557.656644        2401.806211        4308.561903       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "BPM.410505"        "VMONITOR"                 284.8032649               0.25                  0       -2557.882967        2401.806255        4308.455705       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_57"          "DRIFT"                    284.8832649               0.08                  0        -2557.95539         2401.80627        4308.421722       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "MDGV.410506"       "VKICKER"                  285.4312649              0.548                  0        -2558.45149        2401.806367        4308.188937       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_58"          "DRIFT"                    286.0882649       0.6570000182                  0       -2559.046267        2401.806484         4307.90985       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "MBG.410508"        "RBEND"                    292.3882817        6.300016764        -0.00799133       -2564.760254        2401.807606        4305.256484       -2.001534777    0.0001780001168  -3.084519934e-005   5.805700954e-007          0          0                  0                  0 ""                 
 "DRIFT_59"          "DRIFT"                    292.9582817       0.5700000364                  0       -2565.278189        2401.807707        4305.018485       -2.001534777    0.0001780001168  -3.084519934e-005  -3.084519934e-005          0          0                  0                  0 ""                 
 "MBG.410522"        "RBEND"                    299.2582985        6.300016764        -0.00799133       -2571.013197        2401.808828        4302.410865       -1.993543447    0.0001779996962  -3.226766291e-005   6.586006644e-007          0          0                  0                  0 ""                 
